;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;;;
United Kingdom;37.190;39.480;42.140;43.630;48.220;48.120;48.690;48.510;50.250;52.110;56.500;57.990;59.900;57.100;55.380;56.890;61.990;61.190;69.090;71.990;76.160;90.000;85.320;86.980;92.280;95.520;92.850;95.690;95.100;99.500;97.980;94.848;96.349;98.438;90.495;98.281;82.215;78.091;77.361;70.809;72.174;81.236;79.562;80.870;79.321;73.336;76.271;71.028;;;
Others;12.530;15.180;16.340;19.090;21.860;23.450;24.590;25.490;26.500;28.150;30.570;31.090;31.970;32.690;36.330;36.250;38.210;36.670;39.710;40.690;44.020;53.920;54.270;56.130;58.500;62.010;63.550;61.680;69.690;70.460;69.090;69.388;68.430;70.216;64.074;71.901;65.626;61.716;58.440;51.233;54.530;58.691;61.381;60.147;61.382;61.812;64.020;54.801;;;
OECD Asia Pacific;14.290;17.420;21.100;26.800;30.870;36.040;37.710;39.710;40.560;51.240;55.540;58.130;61.400;65.150;67.920;72.010;75.820;80.410;81.720;88.640;93.100;100.280;107.240;108.780;115.590;123.070;128.620;132.100;139.680;139.020;142.464;147.583;161.245;166.174;163.741;185.071;203.099;216.255;223.639;228.133;222.264;224.420;226.158;233.235;236.515;235.610;224.230;224.654;;;
Australia;5.030;5.930;6.770;7.330;8.380;9.520;10.600;10.970;10.980;11.420;12.670;13.650;13.870;14.080;15.130;14.480;14.520;15.800;15.730;16.870;17.470;18.480;20.890;20.990;21.100;22.250;23.680;26.710;26.130;25.310;21.827;24.461;25.053;23.717;26.591;32.107;35.589;34.548;34.382;39.495;42.541;41.680;43.980;45.195;57.443;57.291;55.420;58.284;;;
Japan;8.880;10.550;12.870;18.070;21.480;24.890;24.970;25.650;27.470;37.110;39.430;40.250;41.540;44.000;45.690;49.900;52.770;54.880;55.200;59.010;61.170;64.010;66.030;68.650;71.660;74.940;76.650;75.220;82.610;79.100;84.975;86.114;95.955;100.375;94.676;100.285;112.356;124.820;125.081;127.682;123.080;122.321;121.377;121.905;114.172;112.087;97.543;95.748;;;
New Zealand;320;880;1.400;1.340;950;1.340;1.770;2.930;2.050;2.650;3.390;4.040;3.980;4.360;4.400;4.510;4.860;5.120;4.960;4.830;4.910;4.820;4.590;4.810;5.300;6.110;6.450;6.150;4.690;4.220;4.130;3.970;4.399;4.229;4.381;4.670;4.284;4.708;4.784;5.257;5.000;5.049;5.068;4.547;4.533;4.461;3.814;3.706;;;
South Korea;0;0;0;0;0;0;0;0;0;0;0;150;1.960;2.670;2.660;3.080;3.630;4.580;5.800;7.900;9.530;12.950;15.710;14.310;17.520;19.760;21.830;24.010;26.230;29.890;29.849;30.686;33.246;34.402;34.089;42.694;45.900;49.628;52.264;47.587;42.979;45.530;45.185;52.012;50.743;51.751;57.013;56.476;;;
Others;60;60;60;60;60;290;370;160;60;60;50;40;50;40;40;40;40;30;30;30;20;20;20;20;10;10;10;10;20;500;1.683;2.352;2.592;3.451;4.004;5.315;4.970;2.551;7.128;8.112;8.664;9.840;10.548;9.576;9.624;10.020;10.440;10.440;;;
China;8.820;9.810;12.120;13.730;14.520;14.270;12.740;11.930;12.210;12.430;12.930;13.320;13.440;13.900;14.300;14.400;14.900;15.190;15.810;16.670;17.030;18.990;21.200;22.190;24.190;27.100;30.300;32.630;34.130;40.980;49.950;59.550;71.770;80.540;89.590;109.030;132.950;147.660;168.490;184.510;190.150;205.500;236.020;276.080;299.610;322.420;363.920;358.336;;;
India;1.000;1.520;1.640;1.730;1.750;1.670;1.850;2.520;2.990;3.240;3.780;5.890;7.530;8.410;10.730;10.590;12.710;15.320;15.060;16.810;17.770;19.720;20.300;21.540;21.300;20.350;20.070;26.080;30.200;33.500;36.950;38.790;41.360;42.900;53.310;64.490;64.010;59.620;52.500;51.800;50.450;56.480;58.490;61.200;62.570;61.600;63.400;60.743;;;
Other Asia;11.790;13.570;17.000;18.270;21.360;23.410;23.600;25.950;30.520;34.250;38.730;39.020;42.490;45.350;49.620;50.200;58.770;62.830;70.300;78.620;86.560;96.840;102.580;101.980;109.980;116.100;124.890;141.320;154.050;161.770;177.960;187.280;190.430;200.520;205.920;221.050;219.450;233.540;238.830;244.280;248.600;250.800;254.640;260.550;266.730;251.220;258.510;259.505;;;
Bangladesh;670;860;910;940;1.030;1.300;1.570;1.940;3.300;2.540;2.840;3.240;3.830;4.250;4.770;4.810;4.950;5.740;6.110;6.650;7.370;7.590;7.630;8.200;8.600;9.100;10.670;11.300;12.150;13.200;14.500;15.320;16.270;17.900;19.600;19.910;20.110;22.030;22.800;23.800;26.800;26.300;26.500;27.360;30.560;29.500;31.540;32.802;;;
Brunei;1.330;1.930;1.620;1.990;2.400;2.270;2.050;2.290;1.580;1.630;1.650;1.310;1.700;1.370;1.610;440;850;970;810;700;970;1.780;1.900;1.700;2.220;1.960;1.970;1.940;2.350;3.000;3.850;3.990;4.100;4.200;2.490;2.970;3.020;2.950;2.690;3.190;3.480;3.100;2.880;3.120;3.040;3.110;2.820;2.634;;;
Indonesia;2.330;2.350;5.000;5.780;7.460;7.030;7.020;6.670;8.950;10.450;12.360;13.330;13.790;14.640;16.390;17.830;21.660;22.560;24.050;27.330;30.050;32.190;31.860;27.840;31.840;29.830;30.790;33.090;34.630;32.960;33.280;34.280;31.900;33.830;38.070;39.560;37.380;39.020;42.180;41.720;42.510;41.780;40.580;40.580;39.350;31.910;32.420;31.599;;;
Malaysia;550;640;930;1.010;1.100;1.100;1.330;1.580;2.720;4.490;5.460;5.690;5.040;5.190;5.260;5.590;6.600;7.190;9.230;11.640;13.730;14.120;15.980;16.410;16.040;19.380;20.380;23.870;23.960;21.320;27.730;32.350;30.100;32.030;31.140;32.620;31.150;31.610;32.810;35.180;31.380;32.380;33.740;34.700;36.980;33.720;35.790;37.222;;;
Myanmar;180;250;230;270;270;350;420;450;600;640;920;1.070;1.190;1.040;1.090;850;860;870;1.100;1.430;1.640;1.600;1.510;1.760;1.630;2.070;2.090;2.010;2.510;2.700;3.340;3.620;4.120;3.850;3.250;3.240;3.340;3.530;3.630;3.440;3.590;4.000;4.310;4.760;4.420;4.740;4.100;4.264;;;
Pakistan;5.010;5.200;5.730;5.870;6.580;8.080;8.930;9.740;9.720;10.040;10.370;9.460;10.130;10.740;13.450;12.230;13.210;12.970;14.930;15.210;15.600;16.950;16.900;17.820;20.300;21.500;22.700;24.610;30.440;34.460;35.500;36.120;36.800;38.000;38.710;39.630;39.150;41.460;39.400;39.070;40.670;43.260;45.390;47.070;48.100;45.560;48.300;51.198;;;
Thailand;0;0;0;0;0;0;310;1.330;1.610;2.400;3.370;3.030;4.440;5.460;5.330;5.890;7.370;7.770;8.790;9.680;10.410;12.130;15.230;16.100;17.800;19.950;24.550;26.920;28.860;29.800;32.550;33.300;35.400;37.310;39.170;45.080;46.570;51.020;52.110;52.570;53.290;51.660;51.230;50.640;51.790;48.090;49.070;44.768;;;
Vietnam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;250;250;710;830;230;700;680;1.200;1.300;1.700;2.500;4.300;5.300;5.700;5.900;6.980;7.090;8.410;7.710;8.320;8.580;8.990;9.400;9.460;8.730;8.830;9.010;8.040;6.520;7.302;;;
Others;1.720;2.340;2.580;2.410;2.520;3.280;1.970;1.950;2.040;2.060;1.760;1.890;2.370;2.660;1.720;2.560;3.270;4.550;5.030;5.730;6.080;9.650;11.340;11.450;10.870;11.110;10.440;15.880;16.650;20.030;21.910;22.600;25.840;26.420;26.400;29.630;31.020;33.600;34.630;36.320;37.480;38.860;41.280;43.490;43.480;46.550;47.950;47.716;;;
